time,city,temperature,humidity
2026-05-23 13:25:02.181972,Mumbai,28.2,87
2026-05-23 13:25:07.194381,Delhi,24.6,87
2026-05-23 13:25:12.215853,Chennai,20.3,55
2026-05-23 13:25:14.481648,Hyderabad,40.8,60
2026-05-23 13:25:16.490936,Vijayawada,39.3,78
2026-05-23 13:25:17.223622,Mumbai,38.2,41
2026-05-23 13:25:18.502887,Vijayawada,45.2,36
2026-05-23 13:25:20.513628,Delhi,35.2,87
2026-05-23 13:25:22.252444,Chennai,31.1,40
2026-05-23 13:25:22.524997,Delhi,40.1,53
2026-05-23 13:25:24.540418,Mumbai,37.1,77
2026-05-23 13:25:26.554572,Bangalore,30.5,88
2026-05-23 13:25:27.261803,Chennai,41.7,84
2026-05-23 13:25:28.565506,Delhi,41.1,61
2026-05-23 13:25:30.586521,Bangalore,33.8,61
2026-05-23 13:25:32.291186,Vijayawada,31.8,78
2026-05-23 13:25:32.597464,Bangalore,35.3,54
2026-05-23 13:25:34.606448,Chennai,40.5,65
2026-05-23 13:25:36.613577,Chennai,38.9,86
2026-05-23 13:25:37.304089,Bangalore,25.1,46
2026-05-23 13:25:38.623418,Hyderabad,44.7,37
2026-05-23 13:25:40.635420,Mumbai,37.4,58
2026-05-23 13:25:42.314103,Bangalore,39.5,69
2026-05-23 13:25:42.645448,Vijayawada,39.6,82
2026-05-23 13:25:44.654748,Hyderabad,41.4,61
2026-05-23 13:25:46.659858,Delhi,38.4,63
2026-05-23 13:25:47.324767,Bangalore,41.7,82
2026-05-23 13:25:48.670809,Chennai,44.7,46
2026-05-23 13:25:50.680378,Hyderabad,42.0,58
2026-05-23 13:25:52.349245,Vijayawada,31.8,52
2026-05-23 13:25:52.692973,Delhi,41.7,49
2026-05-23 13:25:54.707863,Delhi,36.1,86
2026-05-23 13:25:56.717563,Chennai,38.3,85
2026-05-23 13:25:57.362349,Delhi,30.2,58
2026-05-23 13:25:58.732939,Delhi,38.3,65
2026-05-23 13:26:00.745243,Chennai,40.0,85
2026-05-23 13:26:02.373130,Delhi,30.2,51
2026-05-23 13:26:02.747769,Vijayawada,45.8,40
2026-05-23 13:26:04.758570,Mumbai,37.1,66
2026-05-23 13:26:06.769366,Chennai,41.4,57
2026-05-23 13:26:07.391818,Bangalore,28.4,60
2026-05-23 13:26:08.783038,Delhi,42.6,47
2026-05-23 13:26:10.794596,Bangalore,37.1,50
2026-05-23 13:26:12.404592,Delhi,22.2,67
2026-05-23 13:26:12.803701,Bangalore,33.6,60
2026-05-23 13:26:14.813714,Chennai,43.4,59
2026-05-23 13:26:16.823464,Bangalore,30.7,88
2026-05-23 13:26:17.414465,Bangalore,35.9,70
2026-05-23 13:26:18.837509,Mumbai,40.0,42
2026-05-23 13:26:20.848605,Bangalore,35.5,63
2026-05-23 13:26:22.443765,Hyderabad,36.5,88
2026-05-23 13:26:22.858011,Chennai,40.6,77
2026-05-23 13:26:24.875156,Hyderabad,36.8,90
2026-05-23 13:26:26.882425,Bangalore,35.7,65
2026-05-23 13:26:27.460538,Mumbai,25.7,52
2026-05-23 13:26:28.891981,Bangalore,32.4,71
2026-05-23 13:26:30.901552,Delhi,37.3,84
2026-05-23 13:26:32.477754,Vijayawada,28.4,76
2026-05-23 13:26:32.911565,Mumbai,39.6,43
2026-05-23 13:26:34.922434,Chennai,41.2,68
2026-05-23 13:26:36.932918,Bangalore,33.6,80
2026-05-23 13:26:37.494665,Hyderabad,40.4,65
2026-05-23 13:26:38.946886,Delhi,41.4,36
2026-05-23 13:26:40.960246,Vijayawada,45.1,44
2026-05-23 13:26:42.504499,Mumbai,41.7,40
2026-05-23 13:26:42.968652,Chennai,43.5,39
2026-05-23 13:26:44.992157,Chennai,40.5,64
2026-05-23 13:26:47.002818,Vijayawada,40.9,74
2026-05-23 13:26:47.518797,Hyderabad,36.3,52
2026-05-23 13:26:49.014980,Vijayawada,46.5,40
2026-05-23 13:26:51.025161,Delhi,42.9,43
2026-05-23 13:26:52.542288,Bangalore,27.5,84
2026-05-23 13:26:53.042775,Mumbai,40.7,37
2026-05-23 13:26:55.052229,Hyderabad,42.2,58
2026-05-23 13:26:57.063753,Vijayawada,46.4,36
2026-05-23 13:26:57.564239,Chennai,39.9,68
2026-05-23 13:26:59.073363,Mumbai,35.6,76
2026-05-23 13:27:01.084978,Hyderabad,39.0,82
2026-05-23 13:27:02.580973,Mumbai,26.3,75
2026-05-23 13:27:03.101739,Vijayawada,43.3,63
2026-05-23 13:27:05.112961,Hyderabad,38.8,83
2026-05-23 13:27:07.119923,Vijayawada,43.7,48
2026-05-23 13:27:07.592900,Bangalore,37.7,73
2026-05-23 13:27:09.130078,Chennai,38.1,81
2026-05-23 13:27:11.138067,Delhi,40.5,54
2026-05-23 13:27:12.611695,Vijayawada,27.4,88
2026-05-23 13:27:13.148117,Mumbai,38.9,55
2026-05-23 13:27:15.161251,Chennai,39.5,85
2026-05-23 13:27:17.175124,Vijayawada,41.0,71
2026-05-23 13:27:17.625253,Mumbai,36.3,88
2026-05-23 13:27:19.186730,Bangalore,38.1,41
2026-05-23 13:27:21.198162,Bangalore,32.8,72
2026-05-23 13:27:22.636902,Chennai,41.6,59
2026-05-23 13:27:23.206631,Vijayawada,45.0,54
2026-05-23 13:27:25.215237,Hyderabad,40.7,58
2026-05-23 13:27:27.225174,Bangalore,30.9,80
2026-05-23 13:27:27.659880,Hyderabad,20.2,80
2026-05-23 13:27:29.233177,Hyderabad,39.6,61
2026-05-23 13:27:31.241178,Vijayawada,44.0,52
2026-05-23 13:27:32.672977,Delhi,28.8,46
2026-05-23 13:27:33.250737,Bangalore,34.5,71
2026-05-23 13:27:35.266610,Vijayawada,43.8,41
2026-05-23 13:27:37.276159,Mumbai,35.3,86
2026-05-23 13:27:37.685,Mumbai,28.5,67
2026-05-23 13:27:39.285282,Hyderabad,40.0,74
2026-05-23 13:27:41.294321,Vijayawada,43.0,63
2026-05-23 13:27:42.697886,Chennai,36.7,74
2026-05-23 13:27:43.308056,Bangalore,35.1,48
2026-05-23 13:27:45.326194,Hyderabad,38.2,72
2026-05-23 13:27:47.339961,Hyderabad,42.4,51
2026-05-23 13:27:47.708137,Vijayawada,34.7,53
2026-05-23 13:27:49.355318,Bangalore,30.9,82
2026-05-23 13:27:51.363235,Mumbai,35.4,82
2026-05-23 13:27:52.719947,Chennai,31.1,48
2026-05-23 13:27:53.372117,Hyderabad,43.4,39
2026-05-23 13:27:55.381908,Vijayawada,42.9,55
2026-05-23 13:27:57.392032,Vijayawada,39.0,82
2026-05-23 13:27:57.731307,Bangalore,25.0,64
2026-05-23 13:27:59.401122,Bangalore,38.3,40
2026-05-23 13:28:01.410271,Chennai,38.9,79
2026-05-23 13:28:02.745556,Mumbai,29.8,70
2026-05-23 13:28:03.420814,Vijayawada,39.7,85
2026-05-23 13:28:05.431593,Hyderabad,42.8,46
2026-05-23 13:28:07.443088,Mumbai,34.1,83
2026-05-23 13:28:07.759677,Hyderabad,33.1,54
2026-05-23 13:28:09.455818,Chennai,42.8,59
2026-05-23 13:28:11.468367,Chennai,41.7,52
2026-05-23 13:28:12.779082,Hyderabad,20.7,83
2026-05-23 13:28:13.481303,Chennai,40.1,69
2026-05-23 13:28:15.491957,Mumbai,38.4,51
2026-05-23 13:28:17.501903,Mumbai,33.5,90
2026-05-23 13:28:17.792621,Delhi,20.8,76
2026-05-23 13:28:19.511795,Chennai,39.4,88
2026-05-23 13:28:21.522398,Vijayawada,44.0,56
2026-05-23 13:28:22.806239,Hyderabad,23.5,81
2026-05-23 13:28:23.531422,Chennai,45.3,42
2026-05-23 13:28:25.543273,Hyderabad,41.6,53
2026-05-23 13:28:27.554955,Bangalore,36.5,40
2026-05-23 13:28:27.819275,Chennai,23.7,90
2026-05-23 13:28:29.571286,Bangalore,32.8,82
2026-05-23 13:28:31.581463,Vijayawada,41.1,76
2026-05-23 13:28:32.834472,Mumbai,41.6,86
2026-05-23 13:28:33.591806,Chennai,43.1,43
2026-05-23 13:28:35.601633,Hyderabad,42.1,57
2026-05-23 13:28:37.612128,Vijayawada,39.8,86
2026-05-23 13:28:37.846540,Vijayawada,32.6,77
2026-05-23 13:28:39.623646,Vijayawada,40.1,83
2026-05-23 13:28:41.638133,Chennai,43.7,51
2026-05-23 13:28:42.859757,Bangalore,31.2,61
2026-05-23 13:28:43.648841,Vijayawada,44.0,40
2026-05-23 13:28:45.662371,Vijayawada,42.0,56
2026-05-23 13:28:47.672522,Hyderabad,39.2,68
2026-05-23 13:28:47.881815,Vijayawada,24.2,75
2026-05-23 13:28:49.683299,Mumbai,34.1,79
2026-05-23 13:28:51.692665,Bangalore,32.4,83
2026-05-23 13:28:52.892469,Mumbai,34.8,52
2026-05-23 13:28:53.705972,Mumbai,38.3,64
2026-05-23 13:28:55.713683,Mumbai,38.6,49
2026-05-23 13:28:57.723104,Chennai,42.0,69
2026-05-23 13:28:57.909519,Chennai,27.0,56
2026-05-23 13:28:59.732713,Hyderabad,43.7,38
2026-05-23 13:29:01.744138,Hyderabad,41.9,51
2026-05-23 13:29:02.922411,Chennai,25.7,80
2026-05-23 13:29:03.764139,Vijayawada,39.3,78
2026-05-23 13:29:05.775272,Vijayawada,42.9,48
2026-05-23 13:29:07.788135,Hyderabad,36.4,86
2026-05-23 13:29:07.936983,Hyderabad,35.5,51
2026-05-23 13:29:09.800003,Hyderabad,43.1,43
2026-05-23 13:29:11.808269,Vijayawada,44.5,50
2026-05-23 13:29:12.948606,Chennai,20.8,54
2026-05-23 13:29:13.816144,Chennai,42.1,68
2026-05-23 13:29:15.825831,Chennai,38.3,78
2026-05-23 13:29:17.835591,Mumbai,40.7,42
2026-05-23 13:29:17.960847,Mumbai,21.4,52
2026-05-23 13:29:19.846742,Vijayawada,44.6,53
2026-05-23 13:29:21.856104,Bangalore,36.1,42
2026-05-23 13:29:22.977463,Delhi,28.8,75
2026-05-23 13:29:23.866841,Hyderabad,42.0,48
2026-05-23 13:29:25.874709,Chennai,39.8,81
2026-05-23 13:29:27.889618,Hyderabad,38.8,75
2026-05-23 13:29:27.992546,Mumbai,34.3,56
2026-05-23 13:29:29.897552,Hyderabad,43.2,43
2026-05-23 13:29:31.904847,Chennai,39.4,68
2026-05-23 13:29:33.008693,Vijayawada,29.5,46
2026-05-23 13:29:33.918068,Chennai,41.8,49
2026-05-23 13:29:35.929148,Bangalore,33.2,62
2026-05-23 13:29:37.939777,Mumbai,40.7,40
2026-05-23 13:29:38.029195,Hyderabad,22.4,43
2026-05-23 13:29:39.952443,Hyderabad,43.1,46
2026-05-23 13:29:41.963916,Delhi,38.3,68
2026-05-23 13:29:43.043215,Delhi,29.0,44
2026-05-23 13:29:43.976050,Mumbai,34.9,87
2026-05-23 13:29:45.990671,Delhi,42.3,43
2026-05-23 13:29:48.001532,Mumbai,36.4,65
2026-05-23 13:29:48.060547,Chennai,28.8,79
2026-05-23 13:29:50.009948,Chennai,45.3,36
2026-05-23 13:29:52.021506,Mumbai,36.3,71
2026-05-23 13:29:53.073300,Delhi,40.1,52
2026-05-23 13:29:54.033388,Chennai,40.3,62
2026-05-23 13:29:56.045279,Mumbai,33.9,83
2026-05-23 13:29:58.058217,Chennai,43.3,43
2026-05-23 13:29:58.086486,Mumbai,31.5,41
2026-05-23 13:30:00.067022,Mumbai,40.3,50
2026-05-23 13:30:02.074255,Mumbai,34.7,85
2026-05-23 13:30:03.099884,Vijayawada,40.2,76
2026-05-23 13:30:04.084303,Mumbai,41.2,38
2026-05-23 13:30:06.093549,Mumbai,36.4,62
2026-05-23 13:30:08.103998,Mumbai,41.1,38
2026-05-23 13:30:08.109130,Chennai,24.0,88
2026-05-23 13:30:10.120619,Hyderabad,36.0,89
2026-05-23 13:30:12.135416,Chennai,42.5,44
2026-05-23 13:30:13.132038,Mumbai,29.7,59
2026-05-23 13:30:14.151931,Vijayawada,39.5,90
2026-05-23 13:30:16.165023,Bangalore,35.9,39
2026-05-23 13:30:18.150594,Mumbai,40.2,48
2026-05-23 13:30:18.173973,Hyderabad,42.7,42
2026-05-23 13:30:20.183886,Delhi,38.2,81
2026-05-23 13:30:22.194078,Hyderabad,39.9,68
2026-05-23 13:30:23.163985,Vijayawada,21.2,54
2026-05-23 13:30:24.207023,Mumbai,35.2,70
2026-05-23 13:30:26.216684,Bangalore,32.5,71
2026-05-23 13:30:28.182091,Vijayawada,22.8,79
2026-05-23 13:30:28.229028,Delhi,35.6,90
2026-05-23 13:30:30.235161,Mumbai,35.2,84
2026-05-23 13:30:32.245530,Bangalore,33.6,63
2026-05-23 13:30:33.204352,Bangalore,28.5,59
2026-05-23 13:30:34.260040,Mumbai,40.0,38
2026-05-23 13:30:36.268881,Vijayawada,38.9,88
2026-05-23 13:30:38.219974,Mumbai,31.1,55
2026-05-23 13:30:38.278408,Mumbai,39.4,59
2026-05-23 13:30:40.288565,Mumbai,36.9,65
2026-05-23 13:30:42.294696,Mumbai,41.5,37
2026-05-23 13:30:43.236859,Delhi,29.4,90
2026-05-23 13:30:44.299201,Delhi,42.5,41
2026-05-23 13:30:46.314103,Hyderabad,40.8,64
2026-05-23 13:30:48.249759,Hyderabad,23.7,54
2026-05-23 13:30:48.322772,Vijayawada,45.0,48
2026-05-23 13:30:50.330466,Chennai,41.3,60
2026-05-23 13:30:52.338997,Vijayawada,43.3,49
2026-05-23 13:30:53.264162,Delhi,30.9,89
2026-05-23 13:30:54.340839,Mumbai,39.5,40
2026-05-23 13:30:56.347850,Mumbai,36.1,65
2026-05-23 13:30:58.282414,Chennai,33.7,83
2026-05-23 13:30:58.360466,Vijayawada,42.1,70
2026-05-23 13:31:00.370142,Bangalore,35.7,63
2026-05-23 13:31:02.379509,Bangalore,35.7,62
2026-05-23 13:31:03.289919,Delhi,27.9,52
